Census_Tract_Name,County_Name,State_FIPS,County_FIPS,Census_Tract_FIPS,FIPS_Code,Total_Computer,Total_Computer_Percent,Total_Broadband_Internet,Total_Broadband_Internet_Percent
Census Tract 201, Alamance ,37,001,020100,37001020100,1671,90.7,1403,76.2
Census Tract 202, Alamance ,37,001,020200,37001020200,1268,94.0,1117,82.8
Census Tract 203.01, Alamance ,37,001,020301,37001020301,1221,85.9,1043,73.3
Census Tract 203.02, Alamance ,37,001,020302,37001020302,1135,92.4,1147,93.4
Census Tract 204, Alamance ,37,001,020400,37001020400,2102,83.2,1718,68.0
Census Tract 205.01, Alamance ,37,001,020501,37001020501,1288,93.3,1193,86.4
Census Tract 205.02, Alamance ,37,001,020502,37001020502,1259,85.3,1045,70.8
Census Tract 206.01, Alamance ,37,001,020601,37001020601,1320,92.2,1288,90.0
Census Tract 206.02, Alamance ,37,001,020602,37001020602,1166,89.8,1001,77.1
Census Tract 207.01, Alamance ,37,001,020701,37001020701,2131,88.2,1985,82.2
Census Tract 207.02, Alamance ,37,001,020702,37001020702,2369,93.5,2007,79.2
Census Tract 208.01, Alamance ,37,001,020801,37001020801,626,90.9,596,86.5
Census Tract 208.02, Alamance ,37,001,020802,37001020802,2064,89.1,1720,74.3
Census Tract 209.01, Alamance ,37,001,020901,37001020901,1150,75.1,1095,71.5
Census Tract 209.02, Alamance ,37,001,020902,37001020902,1435,97.4,1370,93.0
Census Tract 210, Alamance ,37,001,021000,37001021000,1449,85.4,1281,75.5
Census Tract 211.01, Alamance ,37,001,021101,37001021101,1203,92.9,1122,86.6
Census Tract 211.02, Alamance ,37,001,021102,37001021102,1344,92.7,1241,85.6
Census Tract 212.01, Alamance ,37,001,021201,37001021201,1902,85.8,1623,73.2
Census Tract 212.04, Alamance ,37,001,021204,37001021204,1765,91.6,1486,77.1
Census Tract 212.05, Alamance ,37,001,021205,37001021205,2946,93.6,2728,86.7
Census Tract 212.06, Alamance ,37,001,021206,37001021206,1743,86.0,1626,80.2
Census Tract 212.07, Alamance ,37,001,021207,37001021207,1355,90.8,1242,83.2
Census Tract 213, Alamance ,37,001,021300,37001021300,2190,91.9,1868,78.4
Census Tract 214, Alamance ,37,001,021400,37001021400,1131,90.0,936,74.5
Census Tract 215, Alamance ,37,001,021500,37001021500,1622,96.7,1515,90.3
Census Tract 216, Alamance ,37,001,021600,37001021600,1901,83.4,1620,71.1
Census Tract 217.01, Alamance ,37,001,021701,37001021701,1422,92.3,1243,80.7
Census Tract 217.02, Alamance ,37,001,021702,37001021702,2138,98.8,2089,96.6
Census Tract 217.03, Alamance ,37,001,021703,37001021703,2694,92.9,2599,89.7
Census Tract 218.01, Alamance ,37,001,021801,37001021801,1649,92.0,1474,82.2
Census Tract 218.02, Alamance ,37,001,021802,37001021802,1307,92.4,1215,85.9
Census Tract 218.03, Alamance ,37,001,021803,37001021803,1046,85.3,965,78.7
Census Tract 219.01, Alamance ,37,001,021901,37001021901,1689,89.5,1575,83.4
Census Tract 219.02, Alamance ,37,001,021902,37001021902,1455,90.0,1351,83.5
Census Tract 220.01, Alamance ,37,001,022001,37001022001,1387,93.0,1322,88.6
Census Tract 220.02, Alamance ,37,001,022002,37001022002,1537,92.5,1328,79.9
Census Tract 401, Alexander ,37,003,040100,37003040100,916,75.1,842,69.0
Census Tract 402, Alexander ,37,003,040200,37003040200,1265,74.1,1120,65.6
Census Tract 403, Alexander ,37,003,040300,37003040300,1100,87.7,1043,83.2
Census Tract 404, Alexander ,37,003,040400,37003040400,2386,86.3,2179,78.8
Census Tract 405, Alexander ,37,003,040500,37003040500,2041,85.7,1845,77.5
Census Tract 406, Alexander ,37,003,040600,37003040600,1755,88.5,1651,83.2
Census Tract 407, Alexander ,37,003,040700,37003040700,2539,92.8,2411,88.1
Census Tract 9501, Alleghany ,37,005,950100,37005950100,1596,87.7,1525,83.8
Census Tract 9502, Alleghany ,37,005,950200,37005950200,1414,81.7,1263,73.0
Census Tract 9503, Alleghany ,37,005,950300,37005950300,1106,76.2,1096,75.5
Census Tract 9201, Anson ,37,007,920100,37007920100,1312,85.5,1287,83.8
Census Tract 9202, Anson ,37,007,920200,37007920200,746,89.9,707,85.2
Census Tract 9203.01, Anson ,37,007,920301,37007920301,1804,89.0,1761,86.8
Census Tract 9203.02, Anson ,37,007,920302,37007920302,152,85.4,138,77.5
Census Tract 9204, Anson ,37,007,920400,37007920400,1018,80.1,906,71.3
Census Tract 9205.01, Anson ,37,007,920501,37007920501,359,86.1,375,89.9
Census Tract 9205.02, Anson ,37,007,920502,37007920502,1367,76.1,1189,66.2
Census Tract 9206, Anson ,37,007,920600,37007920600,1557,89.1,1374,78.6
Census Tract 9800, Anson ,37,007,980000,37007980000,0,-666666666.0,0,-666666666.0
Census Tract 9702, Ashe ,37,009,970200,37009970200,993,80.3,888,71.8
