County_Name,Rural_Status,State_FIPS,County_FIPS,FIPS_Code,Total_Computer,Total_Computer_Percent,Total_Broadband_Internet,Total_Broadband_Internet_Percent
Anson,Rural,37,007,37007,8315,84.8,7737,78.9
Beaufort,Rural,37,013,37013,17349,85.8,14964,74.0
Brunswick,Rural,37,019,37019,55782,93.9,52355,88.1
Cabarrus,Regional City and Suburban,37,025,37025,68821,94.5,64618,88.7
Carteret,Rural,37,031,37031,27889,92.8,26256,87.3
Chatham,Rural,37,037,37037,27170,90.9,24166,80.8
Cleveland,Rural,37,045,37045,30047,83.3,25379,70.3
Cumberland,Regional City and Suburban,37,051,37051,116429,91.3,109278,85.7
Davidson,Regional City and Suburban,37,057,37057,60617,89.7,55768,82.6
Durham,Urban,37,063,37063,122376,94.0,115247,88.6
Franklin,Rural,37,069,37069,22217,86.4,21062,81.9
Graham,Rural,37,075,37075,2750,78.1,2428,69.0
Guilford,Urban,37,081,37081,187619,90.1,169880,81.6
Haywood,Rural,37,087,37087,23296,86.6,19717,73.3
Hyde,Rural,37,095,37095,1782,86.7,1347,65.5
Johnston,Regional City and Suburban,37,101,37101,65890,92.4,57434,80.5
Lenoir,Rural,37,107,37107,20028,85.2,18003,76.6
Macon,Rural,37,113,37113,13619,84.8,12095,75.3
Mecklenburg,Urban,37,119,37119,401923,95.3,380319,90.1
Stanly,Rural,37,167,37167,21229,89.0,19641,82.4
Swain,Rural,37,173,37173,4692,81.7,3821,66.6
Union,Regional City and Suburban,37,179,37179,73694,94.7,71317,91.7
Warren,Rural,37,185,37185,6524,80.3,5283,65.0
Wayne,Rural,37,191,37191,42483,88.1,40329,83.7
Yadkin,Rural,37,197,37197,13187,86.5,11531,75.6
Alamance,Regional City and Suburban,37,001,37001,59080,90.3,53177,81.2
Alexander,Rural,37,003,37003,12002,85.4,11091,78.9
Alleghany,Rural,37,005,37005,4116,82.3,3884,77.7
Ashe,Rural,37,009,37009,9997,84.1,8973,75.5
Avery,Rural,37,011,37011,5709,86.9,4940,75.2
Bertie,Rural,37,015,37015,6299,78.7,4898,61.2
Bladen,Rural,37,017,37017,11296,84.3,10334,77.2
Buncombe,Regional City and Suburban,37,021,37021,92822,88.3,86207,82.0
Burke,Rural,37,023,37023,30135,84.5,26850,75.3
Caldwell,Rural,37,027,37027,27740,84.6,26543,80.9
Camden,Rural,37,029,37029,3654,93.4,3517,89.9
Caswell,Rural,37,033,37033,7358,81.8,6230,69.3
Catawba,Regional City and Suburban,37,035,37035,56515,89.8,52627,83.6
Cherokee,Rural,37,039,37039,10886,86.8,9491,75.6
Chowan,Rural,37,041,37041,5493,86.0,4595,71.9
Clay,Rural,37,043,37043,4527,85.4,3998,75.4
Columbus,Rural,37,047,37047,17645,81.9,15377,71.4
Craven,Rural,37,049,37049,37023,90.3,33370,81.4
Currituck,Rural,37,053,37053,10244,94.3,9155,84.2
Dare,Rural,37,055,37055,15204,96.0,14652,92.6
Davie,Rural,37,059,37059,14862,91.2,14261,87.5
Duplin,Rural,37,061,37061,17943,83.7,15260,71.2
