Place_Name,State_FIPS,Place_FIPS,FIPS_Code,Total_Computer,Total_Computer_Percent,Total_Broadband_Internet,Total_Broadband_Internet_Percent
Aberdeen town,37,00160,3700160,2842,90.6,2839,90.5
Advance CDP,37,00440,3700440,334,85.2,312,79.6
Ahoskie town,37,00500,3700500,1542,80.9,1332,69.9
Alamance village,37,00640,3700640,399,95.2,387,92.4
Albemarle city,37,00680,3700680,5255,84.0,4860,77.7
Alexis CDP,37,00880,3700880,223,62.3,201,56.1
Alliance town,37,01000,3701000,325,73.9,299,68.0
Altamahaw CDP,37,01140,3701140,160,95.8,160,95.8
Anderson Creek CDP,37,01340,3701340,4366,97.7,3779,84.5
Andrews town,37,01380,3701380,653,82.8,614,77.8
Angier town,37,01400,3701400,1809,86.0,1626,77.3
Ansonville town,37,01420,3701420,218,86.2,196,77.5
Apex town,37,01520,3701520,18758,97.6,18311,95.2
Aquadale CDP,37,01560,3701560,159,93.0,159,93.0
Arapahoe town,37,01640,3701640,182,91.0,159,79.5
Archdale city,37,01720,3701720,4357,92.6,4117,87.5
Archer Lodge town,37,01760,3701760,1904,92.1,1976,95.6
Arrowhead Beach CDP,37,01972,3701972,293,100.0,293,100.0
Asheboro city,37,02080,3702080,9632,89.7,8721,81.2
Asheville city,37,02140,3702140,35428,88.8,33487,83.9
Ashley Heights CDP,37,02240,3702240,78,70.3,65,58.6
Askewville town,37,02320,3702320,58,65.2,45,50.6
Atkinson town,37,02460,3702460,100,87.7,66,57.9
Atlantic CDP,37,02480,3702480,217,91.9,183,77.5
Atlantic Beach town,37,02500,3702500,894,90.3,878,88.7
Aulander town,37,02580,3702580,319,81.4,265,67.6
Aurora town,37,02620,3702620,221,69.1,172,53.8
Autryville town,37,02700,3702700,65,81.3,62,77.5
Avery Creek CDP,37,02760,3702760,893,98.6,827,91.3
Avon CDP,37,02780,3702780,338,93.1,291,80.2
Ayden town,37,02840,3702840,1777,87.1,1745,85.5
Badin town,37,02960,3702960,418,93.5,398,89.0
Bailey town,37,03020,3703020,193,89.8,182,84.7
Bakersville town,37,03100,3703100,234,77.0,225,74.0
Bald Head Island village,37,03150,3703150,124,98.4,124,98.4
Balfour CDP,37,03220,3703220,495,92.0,466,86.6
Banner Elk town,37,03500,3703500,350,99.4,321,91.2
Barker Heights CDP,37,03640,3703640,491,86.6,416,73.4
Barker Ten Mile CDP,37,03665,3703665,333,94.9,318,90.6
Barnardsville CDP,37,03720,3703720,169,72.8,140,60.3
Bath town,37,03840,3703840,109,89.3,102,83.6
Bayboro town,37,03960,3703960,215,80.8,162,60.9
Bayshore CDP,37,04015,3704015,1180,95.3,1106,89.3
Bayview CDP,37,04040,3704040,196,100.0,145,74.0
Bear Grass town,37,04180,3704180,32,97.0,32,97.0
Beaufort town,37,04260,3704260,1973,91.3,1814,84.0
Beech Mountain town,37,04510,3704510,342,97.7,333,95.1
Belhaven town,37,04640,3704640,423,69.6,302,49.7
Bell Arthur CDP,37,04680,3704680,165,100.0,165,100.0
Belmont city,37,04840,3704840,4123,91.3,3947,87.4
Belville town,37,04950,3704950,984,94.0,959,91.6
Belvoir CDP,37,04955,3704955,130,100.0,130,100.0
Belwood town,37,04960,3704960,329,90.1,308,84.4
Bennett CDP,37,05020,3705020,69,62.7,69,62.7
Benson town,37,05040,3705040,1163,81.2,1020,71.2
Bent Creek CDP,37,05049,3705049,520,95.1,476,87.0
Bermuda Run town,37,05135,3705135,1337,93.5,1352,94.5
Bessemer City city,37,05220,3705220,1664,88.4,1383,73.5
Bethania town,37,05340,3705340,150,96.8,150,96.8
Bethel town,37,05460,3705460,658,78.1,581,69.0
Bethlehem CDP,37,05530,3705530,1632,93.9,1536,88.4
Beulaville town,37,05660,3705660,629,80.1,590,75.2
Biltmore Forest town,37,05880,3705880,575,97.8,549,93.4
